index,ZINC,ECBD,docking score,smiles
47,ZINC000043202844,EOS101046,-4.994,CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12
48,ZINC000033169685,EOS1159,-4.986,Cn1c(=O)c(N2CCC(NC(=O)Nc3ccc4c(c3)OCO4)CC2)nc2ccccc21
49,nan,EOS100509,-4.974,CN1CCN(C(=O)c2ccc(-n3nc(-c4ccc(C(=O)O)cc4)cc3-c3cc(C(C)(C)C)cc(C(C)(C)C)c3)cc2)CC1
50,nan,EOS100289,-4.973,NC(=O)c1nc(-c2c(F)cccc2Cl)oc1Nc1ccc(C(=O)N2CCOCC2)cc1
51,ZINC000013527116,EOS101188,-4.956,Cc1ccc2c(c1)C1(CCN(CCc3nc(-c4ccccc4)oc3C)CC1)OC(=O)N2
52,ZINC000065035047,EOS1107,-4.95,Cc1cc(F)cc2c(=O)c3c([nH]c12)CCN(CC(=O)Nc1ccc2c(c1)OCO2)C3
53,ZINC000003984030,EOS100245,-4.909,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12
54,ZINC000003938693,EOS101296,-4.813,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12
55,ZINC000013369781,EOS559,-4.812,Cc1ccc(NC(=O)[C@H]2O[C@@H]3OC(C)(C)O[C@@H]3[C@H]3OC(C)(C)O[C@@H]23)cc1F
56,ZINC000103253989,EOS100280,-4.765,COc1cc(C(N)=O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F
57,ZINC000058660574,EOS100949,-4.749,O=C(N[C@@H](COc1ccc2[nH]c(=O)[nH]c2c1)c1ccccc1)c1cccn(Cc2ccc(F)c(F)c2)c1=O
58,ZINC000096174209,EOS101260,-4.74,O=C(Nc1ccc2[nH]nc(-c3ccncc3)c2c1)[C@@H]1CCN(CC(=O)N2CCN(c3ccc(-c4ncccn4)cc3)CC2)C1
59,ZINC000096170445,EOS100871,-4.626,CC(C)(C#N)c1ccc(N2C(=O)OCc3cnc4ccc(-c5cnc6ccccc6c5)cc4c32)cc1
60,ZINC000033276856,EOS1084,-4.602,O=C(C1CCN(S(=O)(=O)c2ccc(-c3noc(-c4ccc5c(c4)OCO5)n3)cc2)CC1)N1CCCC1
61,ZINC000214463354,EOS101132,-4.568,Cc1nc(Nc2cnn(C3CCNCC3)c2)nc2c1N(C)C(=O)c1cc3ccccc3cc1N2C
62,ZINC000058581064,EOS101330,-4.524,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21
63,ZINC000004785574,EOS98590,-4.505,Cc1oc2c(c1C(=O)c1ccc(Cl)cc1)C(=O)C(=O)c1ccccc1-2
64,ZINC000070466416,EOS101050,-4.494,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC
65,ZINC000014954335,EOS101313,-4.487,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21
66,ZINC000020781637,EOS844,-4.456,Cn1cc(-c2nc(-c3ccccn3)no2)c(=O)c2ccccc21
67,ZINC000095564436,EOS100548,-4.448,CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1
68,nan,EOS100286,-4.448,Cc1ccc(Oc2nc3cc(Cl)c(-c4ccc(-c5ccccc5)cc4)cc3[nH]2)cc1C(=O)O
69,ZINC000012138328,EOS2291,-4.385,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC2)cc1
70,ZINC000035402642,EOS1714,-4.371,O=C(CN1C(=O)CSc2ccc(C(=O)N3CCCC3)cc21)Nc1ccc2c(c1)OCCO2
71,ZINC000004175630,EOS101205,-4.371,Oc1nc2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
72,ZINC000035509650,EOS896,-4.369,O=C(c1ccc2c(c1)OCO2)N1CCN(Cc2cc(=O)n3nc(-c4ccccc4F)sc3n2)CC1
73,ZINC000095926668,EOS100499,-4.282,Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1
74,ZINC000096173500,EOS100435,-4.249,c1cc(-c2cnn3cc(-c4ccc(N5CCNCC5)cc4)cnc23)c2cccnc2c1
75,ZINC000000002688,nan,-4.225,O=C(OC1C[C@@H]2CC3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12
76,ZINC000043205799,EOS100157,-4.197,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)cc2F)n(-c2ccccc2)n1
77,ZINC000042921365,EOS100934,-4.196,CCN1CCC(n2cc(CNc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)nn2)CC1
78,ZINC000049006633,EOS1195,-4.194,Cc1cccc(-c2noc(-c3cccn4c(=O)n(Cc5cc(=O)n6ccccc6n5)nc34)n2)c1
79,ZINC000039716080,EOS100856,-4.164,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1
