index,Title,docking score,glide gscore,eos,pubchem,zinc,smiles,formula
65,EOS1084,-4.602,-4.602,EOS1084,CID50825012,ZINC000033276856,O=C(C1CCN(S(=O)(=O)c2ccc(-c3noc(-c4ccc5c(c4)OCO5)n3)cc2)CC1)N1CCCC1,C25H26N4O6S
66,EOS101132,-4.568,-4.568,EOS101132,CID78357766,ZINC000214463354,Cc1nc(Nc2cnn(C3CCNCC3)c2)nc2c1N(C)C(=O)c1cc3ccccc3cc1N2C,C26H28N8O
67,ZINC000058581064,-4.524,-4.823,,,,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21,
68,EOS98590,-4.505,-4.505,EOS98590,CID3698299,ZINC000004785574,Cc1oc2c(c1C(=O)c1ccc(Cl)cc1)C(=O)C(=O)c1ccccc1-2,C20H11ClO4
69,EOS101050,-4.494,-4.546,EOS101050,CID25102847,ZINC000070466416,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,C28H24FN3O5
70,ZINC000070466416,-4.494,-4.546,,,,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,
71,EOS101313,-4.487,-4.551,EOS101313,CID16095342,ZINC000014954335,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,C29H30N8O5
72,EOS100429,-4.469,-4.498,EOS100429,CID68277611,ZINC000095920765,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1ccc2nccn2c1,C21H15F2N3O3S
73,EOS844,-4.456,-4.456,EOS844,CID29152425,ZINC000020781637,Cn1cc(-c2nc(-c3ccccn3)no2)c(=O)c2ccccc21,C17H12N4O2
74,EOS100548,-4.448,-5.055,EOS100548,CID49784002,ZINC000095564436,CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1,C26H28N6O
75,EOS100286,-4.448,-4.944,EOS100286,CID45256689,,Cc1ccc(Oc2nc3cc(Cl)c(-c4ccc(-c5ccccc5)cc4)cc3[nH]2)cc1C(=O)O,C27H19ClN2O3
76,EOS2291,-4.385,-4.385,EOS2291,CID17196296,ZINC000012138328,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC2)cc1,C19H20N2O2
77,EOS101205,-4.371,-4.38,EOS101205,CID16362,ZINC000004175630,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,C28H29F2N3O
78,EOS1714,-4.371,-4.371,EOS1714,CID50777321,ZINC000035402642,O=C(CN1C(=O)CSc2ccc(C(=O)N3CCCC3)cc21)Nc1ccc2c(c1)OCCO2,C23H23N3O5S
79,EOS896,-4.369,-4.96,EOS896,CID50803115,ZINC000035509650,O=C(c1ccc2c(c1)OCO2)N1CCN(Cc2cc(=O)n3nc(-c4ccccc4F)sc3n2)CC1,C24H20FN5O4S
80,EOS100499,-4.282,-4.282,EOS100499,CID44603533,ZINC000095926668,Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1,C30H22F2N6O3
81,EOS100435,-4.249,-4.257,EOS100435,CID60182388,ZINC000096173500,c1cc(-c2cnn3cc(-c4ccc(N5CCNCC5)cc4)cnc23)c2cccnc2c1,C25H22N6
82,ZINC000000002688,-4.225,-4.866,,,,O=C(OC1C[C@@H]2CC3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,
83,EOS100157,-4.197,-4.203,EOS100157,CID42628843,ZINC000043205799,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)cc2F)n(-c2ccccc2)n1,C27H24FN7O3
