,proteinID,ligandID,mean,median,max,min,var
135,7RDY-zinc,Mrv1909-05141920162D,-12.70909090909091,-12.8,-12.4,-13.0,0.08782241014799151
136,7RDY-no-extra,Mrv1909-03072017262D,-12.7,-13.0,-12.0,-13.2,0.2841860465116272
137,7RDY-no-extra,Mrv1572012161520342D,-12.7,-12.7,-12.6,-12.8,0.010232558139535207
138,7RDY-no-extra,Mrv1909-02212019082D,-12.693181818181818,-12.649999999999999,-12.1,-13.2,0.25878964059196613
139,7RDY-no-extra,Mrv1652310211600272D,-12.670454545454545,-12.65,-11.6,-13.5,0.6695718816067633
140,7RDY-no-extra,Mrv0541-05031422022D,-12.668181818181818,-12.65,-12.2,-13.1,0.15849894291754607
141,7RDY-no-extra,Mrv1909-05201914432D-1704021549333,-12.654545454545454,-12.6,-11.4,-13.2,0.31183932346723037
142,7RDY-no-extra,Mrv1909-01092020282D,-12.65,-12.649999999999999,-11.6,-13.7,1.128139534883721
143,7RDY-zinc,KSA,-12.65,-12.65,-12.5,-12.8,0.023023255813953942
144,7RDY-zinc,Mrv1909-12152018152D-1704021550223,-12.65,-12.65,-12.5,-12.8,0.02302325581395373
145,7RDY-zinc,Mrv1909-01102020222D,-12.636363636363637,-12.649999999999999,-12.5,-12.7,0.005158562367864725
146,7RDY-no-extra,Mrv1909-05201914312D-1704021549218,-12.613636363636363,-12.65,-11.3,-13.8,1.4421353065539146
147,7RDY-zinc,Mrv1909-02102017232D,-12.613636363636363,-12.7,-11.5,-13.6,0.9579492600422809
148,7RDY-no-extra,Mrv1909-12011922072D,-12.611363636363636,-12.649999999999999,-12.0,-13.2,0.35544926004228156
149,7RDY-zinc,Mrv1909-05201915322D,-12.59772727272727,-12.6,-11.6,-13.5,0.8332505285412282
150,7RDY-no-extra,Mrv1909-06111922242D,-12.593181818181819,-12.55,-12.3,-13.0,0.09041754756871025
151,7RDY-zinc,Mrv0541-02231215032D,-12.590909090909092,-12.4,-12.3,-13.0,0.05154334038054909
152,7RDY-no-extra,Mrv1572004111622392D,-12.588636363636363,-12.6,-11.6,-12.7,0.04568181818181813
