SMILES,proteinID,ligandID,mean,median,max,min,var
CS(=O)(=O)C1=CC=C(C2=CC(=O)N3C=CC=C(OCC4=CC=CC=C4)C3=N2)C(F)=C1,7RDY-no-extra,336,-8.344318181818183,-8.5,-7.6,-8.9,0.2029558516196462
"CCOC(=O)[C@@]1(F)CN(C(=O)C2=CC=C(C3=CC=CC=C3C#N)C=C2)C[C@@H]1C1=CC=CN=C1 |&1:5,26|",7RDY-zinc,271,-8.338636363636365,-8.3,-8.3,-8.4,0.0024260042283298
O=C(OCC1=CC=C(C2=CC=C3OC(=O)NC(=O)C3=C2)C=C1)C1=CC=CC=C1O,7RDY-no-extra,113,-8.3375,-8.5,-7.2,-9.0,0.3106465517241386
O=C(NC1=NC2=CC=C(C(F)(F)F)C=C2C=C1)C1=NN(C2=NC=CC=C2F)C=N1,7RDY-no-extra,442,-8.3375,-8.4,-7.3,-9.0,0.3046695402298852
N#CC1=CC(C2=CC=CC(NC(=O)C3=CC=C4C=NNC(=O)C4=C3)=N2)=CC(F)=C1,7RDY-no-extra,417,-8.334090909090909,-8.149999999999999,-7.8,-8.9,0.1533072100313481
O=C(O)C1=CC=CC(C2=CC=CC=C2CNC(=O)C2=CC(N3C=CC=N3)=CC=N2)=C1,7RDY-zinc,370,-8.334090909090909,-8.2,-7.6,-9.3,0.4215830721003136
COC1=CC=C(NC(=O)C2=NN=C(C3=CC=CC=N3)N2)C=C1C(=O)C1=CC=CC=C1,7RDY-no-extra,28,-8.32840909090909,-8.3,-7.0,-9.8,0.885045715778471
N#CC1=CN(CCNC(=O)NCC2=CN(C3=CC=CC=C3)N=C2C2=CC=C(F)C=C2)N=C1,7RDY-no-extra,87,-8.325000000000001,-8.45,-7.6,-9.0,0.2858045977011497
N#CC1=CC=CN=C1OC1=CC=C(NC(=O)C2=C3C=CN=CC3=NC(O)=C2)C=C1,7RDY-zinc,858,-8.322727272727272,-8.25,-6.1,-9.7,0.9226959247648896
O=C(NC1=CN(C2=CC=CC=C2)C(=O)C=C1)C1=C2C=CC=C(F)C2=CN=C1,7RDY-no-extra,531,-8.319318181818183,-8.3,-6.8,-8.8,0.3169788401253907
NC(=O)C1=CC=C(CC(=O)NCC2=CC=C(C3=CC=C4C=CC=CC4=C3)C=C2)C=N1,7RDY-zinc,706,-8.311363636363636,-8.2,-7.2,-9.4,0.2596394984326018
