proteinID,ligandID,mean,median,max,min,var
7RDY-zinc,30,-8.396590909090909,-8.4,-7.1,-8.8,0.09343652037617561
7RDY-no-extra,551,-8.396590909090909,-8.3,-8.2,-8.7,0.027459508881922758
7RDY-zinc,418,-8.396590909090909,-8.5,-6.7,-9.4,0.5334365203761766
7RDY-zinc,366,-8.387500000000001,-8.4,-8.0,-8.6,0.043635057471264324
7RDY-zinc,649,-8.387500000000001,-8.2,-7.8,-9.4,0.34478448275862067
7RDY-zinc,296,-8.382954545454545,-8.5,-7.6,-8.9,0.2857980668756556
7RDY-zinc,57,-8.370454545454546,-8.4,-7.2,-9.4,0.20210553814002086
7RDY-zinc,573,-8.370454545454546,-8.4,-7.7,-8.8,0.07130094043887103
7RDY-zinc,456,-8.365909090909092,-8.3,-7.6,-9.4,0.44618077324973887
7RDY-no-extra,955,-8.363636363636363,-8.25,-7.5,-9.2,0.4793521421107632
7RDY-zinc,157,-8.363636363636363,-8.6,-7.2,-8.7,0.21521421107628175
7RDY-no-extra,8,-8.363636363636363,-8.5,-7.1,-9.2,0.43498432601880754
7RDY-zinc,631,-8.352272727272727,-8.3,-7.5,-9.1,0.1953970741901774
7RDY-no-extra,336,-8.344318181818183,-8.5,-7.6,-8.9,0.20295585161964622
7RDY-zinc,271,-8.338636363636365,-8.3,-8.3,-8.4,0.002426004228329897
7RDY-no-extra,113,-8.3375,-8.5,-7.2,-9.0,0.3106465517241386
7RDY-no-extra,442,-8.3375,-8.4,-7.3,-9.0,0.30466954022988524
7RDY-no-extra,417,-8.334090909090909,-8.149999999999999,-7.8,-8.9,0.15330721003134817
7RDY-zinc,370,-8.334090909090909,-8.2,-7.6,-9.3,0.4215830721003136
7RDY-no-extra,28,-8.32840909090909,-8.3,-7.0,-9.8,0.885045715778471
7RDY-no-extra,87,-8.325000000000001,-8.45,-7.6,-9.0,0.2858045977011497
7RDY-zinc,858,-8.322727272727272,-8.25,-6.1,-9.7,0.9226959247648897
7RDY-no-extra,531,-8.319318181818183,-8.3,-6.8,-8.8,0.31697884012539074
7RDY-zinc,706,-8.311363636363636,-8.2,-7.2,-9.4,0.25963949843260187
7RDY-zinc,711,-8.310227272727273,-8.4,-7.5,-8.6,0.06851489028213101
7RDY-no-extra,211,-8.304545454545455,-8.350000000000001,-7.2,-9.3,0.4280250783699078
7RDY-zinc,736,-8.294949494949496,-8.2,-7.2,-9.0,0.1443619872191306
7RDY-zinc,606,-8.289772727272727,-8.2,-7.6,-8.6,0.03380224660397087
7RDY-no-extra,575,-8.285227272727273,-8.3,-7.4,-8.9,0.23874477533960378
7RDY-no-extra,294,-8.281818181818181,-8.399999999999999,-7.3,-8.8,0.17414838035527697
7RDY-zinc,974,-8.281818181818181,-8.1,-7.3,-9.7,0.7132288401253899
7RDY-zinc,730,-8.281818181818181,-8.0,-7.9,-9.1,0.15575757575757543
7RDY-no-extra,123,-8.279545454545454,-8.3,-7.9,-8.7,0.03888714733542315
7RDY-zinc,849,-8.278409090909092,-8.55,-7.1,-8.9,0.4221721525600827
7RDY-no-extra,148,-8.276136363636363,-8.3,-6.6,-8.9,0.21448145245559047
7RDY-no-extra,173,-8.273863636363636,-8.3,-6.9,-8.7,0.16701018808777468
7RDY-no-extra,760,-8.273255813953488,-8.0,-7.7,-8.9,0.15092339261285898
7RDY-zinc,40,-8.264772727272728,-8.4,-6.7,-8.9,0.2535723615465
7RDY-no-extra,641,-8.263636363636364,-8.35,-7.3,-9.0,0.2490073145245554
7RDY-no-extra,967,-8.263636363636364,-8.1,-6.6,-9.3,0.6733751306165057
7RDY-no-extra,568,-8.260227272727272,-8.5,-6.8,-8.8,0.3410436259143164
7RDY-no-extra,508,-8.260227272727272,-8.1,-7.9,-9.0,0.1493194879832817
7RDY-no-extra,739,-8.254545454545454,-7.85,-7.2,-9.6,0.6521630094043874
7RDY-zinc,230,-8.25,-8.5,-7.6,-8.7,0.16919540229885088
7RDY-no-extra,162,-8.247727272727273,-8.2,-7.6,-8.8,0.13953500522466059
7RDY-zinc,885,-8.24659090909091,-8.2,-7.6,-8.9,0.22481583072100317
7RDY-zinc,380,-8.24659090909091,-8.3,-7.0,-8.6,0.09148249738766931
7RDY-no-extra,379,-8.245454545454546,-8.2,-7.5,-9.1,0.3608986415882965
7RDY-zinc,521,-8.244318181818182,-8.350000000000001,-7.7,-8.6,0.09146159874608199
7RDY-no-extra,566,-8.243181818181817,-8.1,-7.8,-8.8,0.09880355276907005
7RDY-no-extra,786,-8.240909090909092,-8.4,-7.3,-8.8,0.16934169278996833
7RDY-no-extra,99,-8.240909090909092,-8.3,-7.5,-9.0,0.28244514106583063
7RDY-zinc,43,-8.238636363636363,-8.3,-7.5,-8.7,0.10101880877742907
7RDY-zinc,91,-8.23409090909091,-8.0,-7.7,-9.0,0.18227272727272742
7RDY-zinc,134,-8.232954545454545,-8.25,-7.6,-8.9,0.20154519331243465
