LigandID,SMILES
Mrv1909-12091921202D,C1(=O)N([C@@H]([C@@H]([C@H]([C@@H](Cc2ccccc2)N1Cc1cc(ccc1)C(=O)Nc1nc2ccccc2[nH]1)O)O)Cc1ccccc1)Cc1cccc(c1)C(=O)Nc1nc2c([nH]1)cccc2
Mrv1909-02092017092D,c12c([nH]c3c2CCN2C[C@](C[C@@H](C[C@@]3(c3c(cc4c([C@@]56[C@H]([C@@]7(C(=O)N(C(=O)O7)CCCl)C[C@]7([C@@H]5N(CC6)CC=C7)CC)N4C)c3)OC)C(=O)OC)C2)(O)CC)cccc1
Mrv1652306231722452D-1704021548255,CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2C(=O)C=C2[C@]1(CC[C@@]1([C@H]2C[C@@](CC1)(C)C(=O)O)C)C)C)C
Mrv1652310211604252D-1704021547515,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C3=CC[C@@]2([C@H]1C(=O)CN1CCN(CC1)c1cc(nc(n1)N1CCCC1)N1CCCC1)C)C
Mrv1718006121812052D,O[C@H]1[C@H](O)C[C@]2(C)[C@H]3CC=C4[C@@H]5[C@@H](C)[C@H](C)CC[C@]5(C(=O)O)CC[C@@]4(C)[C@]3(C)CC[C@H]2[C@]1(C)CO
Mrv1652310211601282D,C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]2[C@@H]4CC[C@@H]5C[C@@H](CC[C@@]5([C@H]4CC2=C(C3)C)C)NS(=O)(=O)C)C)NC1
Mrv0541-02231216202D-1704021538337,Nc1c(cc(Nc2ccc(Nc3nc(Cl)nc(Nc4ccccc4S(=O)(=O)O)n3)c(c2)S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O)S(=O)(=O)O
Mrv1909-10091920162D,C1N2[C@@H](CCC1)C(=O)O[C@@H](CC(=O)[C@@H](/C=C(/[C@H]([C@@H](OC)C(=O)[C@@H](C[C@@H](/C=C/C=C/C=C(/[C@H](C[C@@H]1CC[C@H]([C@](C(=O)C2=O)(O1)O)C)OC)\C)C)C)O)\C)C)[C@@H](C[C@@H]1CC[C@H]([C@@H](C1)OC)OCCOCC)C
Mrv1909-09132216432D-1704021550567,[C@H]12C[C@H]3[C@@H]4CC[C@@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@H](C)[C@@]1(CC[C@H](C)CO1)O2
Mrv1909-05201915082D-1704021549536,Cn1c(=O)n(c(=O)c2c1c(F)ccc2)c1c(C)c(ccc1)c1c2c3c(C[C@H](CC3)C(C)(C)O)[nH]c2c(cc1F)C(=O)N
Mrv1652310211604462D,Cc1cc(no1)/C=C(\C)/[C@@H]1C/C=C(\C/C=C\[C@@H]([C@@H]([C@H](C(=O)C([C@H](CC(=O)O1)O)(C)C)C)O)C)/C
Mrv1909-03022014522D,C12=C3C(=CC(=O)CC3)CC[C@H]1[C@H]1[C@](C[C@@H]2c2cc3c(OCO3)cc2)([C@](C#CC)(CC1)O)C
Mrv1652310211600112D-1704021546740,Cc1nc2cc(ccc2s1)[C@@H]1C[C@H]2[C@](O2)(CCC[C@@H]([C@@H]([C@H](C(=O)C([C@H](CC(=O)O1)O)(C)C)CC=C)O)C)C
Mrv1652305011717592D,c12c(c3c4c5c1c1c(cccc1)n5[C@]1(O[C@@H](n4c4c3cccc4)C[C@@H](N(C)C(=O)c3ccccc3)[C@H]1OC)C)C(=O)NC2
Mrv1909-12171921492D,[C@]1(C[C@H]1CC)(C(=O)NS(=O)(=O)C1CC1)NC(=O)[C@H]1N2C[C@@H](C1)OC(=O)N1Cc3c(c(CCCCC(COC(=O)N[C@H](C2=O)C(C)(C)C)(C)C)ccc3)C1
Mrv0541-04191212172D,C1=C[C@]2([C@H](NC1=O)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)Nc1cc(ccc1C(F)(F)F)C(F)(F)F)C)C
Mrv1909-02102018162D,c1(csc(n1)C)/C=C(/[C@@H]1C/C=C(\C/C=C/[C@@H]([C@@H]([C@H](C(=O)C([C@H](CC(=O)O1)O)(C)C)C)O)C)/C)\C
Mrv1572004111623132D,O1[C@]2([C@@H]1C[C@H](NC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]([C@H](CCC2)C)O)C)(C)C)O)/C(=C/c1nc(sc1)C)/C)C
Mrv1909-03102001362D,[C@]123[C@H]([C@]([C@@H]([C@]4([C@@H]1N(CC3)CC=C4)CC)OC(=O)C)(C(=O)OC)O)N(c1c2cc(c(c1)OC)[C@@]1(c2c(c3c([nH]2)cccc3)CC[N@]2C[C@](C[C@@H](C1)C2)(O)CC)C(=O)OC)C=O
Mrv1652310211602132D-1704021547211,CC(C)Oc1ccc(cc1)c1nc2c3ccccc3oc2c(n1)O[C@@H]1C[C@H]2C(=O)N[C@@]3(C[C@H]3/C=C\CCCCC[C@@H](C(=O)N2C1)NC(=O)OC1CCCC1)C(=O)NS(=O)(=O)C1(CC1)C
