proteinID,ligandID,mean,median,max,min,var
7RDY-no-extra,497,-8.245454545454546,-8.25,-7.8,-8.8,0.1941649048625786
7RDY-no-extra,442,-8.245454545454546,-8.3,-7.3,-9.0,0.5904439746300214
7RDY-no-extra,836,-8.243181818181817,-8.149999999999999,-8.0,-8.5,0.04762684989429164
7RDY-no-extra,231,-8.243181818181817,-8.3,-7.8,-8.4,0.03274312896405896
7RDY-zinc,124,-8.240909090909092,-8.350000000000001,-7.7,-8.4,0.06852008456659624
7RDY-no-extra,313,-8.236363636363636,-8.399999999999999,-7.4,-8.8,0.30422832980972647
7RDY-no-extra,250,-8.236363636363636,-8.4,-7.4,-8.6,0.1256236786469345
7RDY-no-extra,411,-8.23409090909091,-8.25,-7.7,-8.7,0.14648520084566602
7RDY-no-extra,566,-8.23409090909091,-8.2,-7.9,-8.8,0.030206131078224126
7RDY-no-extra,630,-8.227272727272727,-8.2,-7.8,-8.5,0.06668076109936555
7RDY-zinc,443,-8.225000000000001,-8.15,-6.8,-8.8,0.32005813953488166
7RDY-no-extra,99,-8.225,-8.2,-7.5,-9.0,0.5391279069767443
7RDY-no-extra,148,-8.222727272727273,-8.3,-6.6,-8.6,0.1631923890063427
7RDY-no-extra,55,-8.222727272727273,-8.25,-7.9,-8.6,0.023192389006342528
7RDY-zinc,862,-8.222727272727273,-8.4,-6.8,-9.1,0.7506342494714592
7RDY-zinc,905,-8.220454545454546,-8.25,-6.9,-8.9,0.4737579281183944
7RDY-no-extra,954,-8.218181818181819,-8.5,-7.6,-8.6,0.17594080338266388
7RDY-zinc,223,-8.218181818181817,-8.2,-8.0,-8.3,0.0029175475687104545
7RDY-no-extra,87,-8.215909090909092,-8.25,-7.6,-8.9,0.36695031712473564
7RDY-zinc,410,-8.213636363636365,-8.2,-7.7,-8.8,0.10167019027484153
7RDY-zinc,300,-8.209090909090909,-8.2,-7.2,-9.0,0.26921775898519995
7RDY-no-extra,889,-8.20681818181818,-8.25,-7.7,-8.7,0.24948731501056967
7RDY-no-extra,922,-8.204545454545455,-8.3,-8.0,-8.6,0.030676532769556123
7RDY-zinc,950,-8.204545454545455,-8.25,-7.0,-8.7,0.2878858350951367
7RDY-no-extra,678,-8.200000000000001,-8.25,-7.4,-8.8,0.2567441860465109
7RDY-no-extra,106,-8.197727272727272,-8.2,-7.6,-8.6,0.05464587737843564
7RDY-zinc,723,-8.193181818181818,-8.25,-7.7,-8.5,0.06158033826638459
7RDY-zinc,220,-8.193181818181818,-8.2,-7.8,-8.5,0.05646405919661684
7RDY-zinc,975,-8.188636363636364,-8.2,-8.0,-8.4,0.0205655391120512
7RDY-zinc,195,-8.186363636363636,-8.15,-7.1,-8.8,0.23934460887949346
7RDY-zinc,599,-8.186363636363636,-8.2,-8.0,-8.3,0.009112050739957675
7RDY-zinc,429,-8.186363636363636,-8.2,-7.9,-8.4,0.047716701902748834
7RDY-zinc,957,-8.18409090909091,-8.15,-8.0,-8.4,0.03578752642706156
7RDY-zinc,683,-8.184090909090909,-8.2,-7.9,-8.4,0.021834038054968273
7RDY-zinc,719,-8.181818181818182,-8.2,-7.8,-8.6,0.14710359408033843
7RDY-zinc,169,-8.179545454545455,-8.25,-7.7,-8.5,0.09654862579281207
7RDY-zinc,606,-8.179545454545455,-8.2,-8.0,-8.2,0.0030602536997885493
7RDY-zinc,992,-8.179545454545455,-8.2,-8.0,-8.3,0.01608350951374188
7RDY-zinc,372,-8.17843137254902,-8.2,-7.9,-8.5,0.03532549019607835
7RDY-zinc,949,-8.177272727272728,-8.2,-8.0,-8.3,0.00970401691331955
7RDY-zinc,437,-8.177272727272726,-8.2,-7.8,-8.3,0.01063424947145882
7RDY-no-extra,293,-8.170454545454545,-8.2,-7.1,-8.7,0.1598044397463005
7RDY-zinc,382,-8.170454545454545,-8.149999999999999,-6.8,-8.8,0.41701374207188224
7RDY-zinc,778,-8.170454545454545,-8.2,-7.8,-8.3,0.021199788583509797
