EOS,Conformation,Affinity,Smile
EOS1176,3,-7.0,CCn1ccc2c(cc(C(=O)Nc3ccc(OC)cc3OC)n2C)c1=O
EOS1177,7,-6.933,Cn1ccc2c(cc(C(=O)NCc3cccc(Cl)c3)n2C)c1=O
EOS1178,3,-7.161,Cn1ccc2c(cc(C(=O)N3CCN(c4ccccc4F)CC3)n2C)c1=O
EOS1179,9,-7.334,CCN1CCN(C(=O)c2nn3c(C)cc(C)nc3c2-c2ccc(OC)c(S(=O)(=O)N3CCCC3)c2)CC1
EOS1191,1,-7.185,CCN(CC)S(=O)(=O)c1ccc(-n2cnc(C(=O)Nc3ccc4c(c3)OCCO4)c2)cc1
EOS1192,1,-7.931,O=C(c1cn(-c2ccc(S(=O)(=O)N3CCCCC3)cc2)cn1)N1CCN(c2ccccn2)CC1
EOS1193,4,-7.033,CCCNC(=O)C1CCCN(c2ccc(SCC(=O)Nc3ccc(S(C)(=O)=O)cc3)nn2)C1
EOS1194,1,-6.948,Cc1ccc(NC(=O)Cn2ncc3c(c2=O)N(CC(C)C)C(=O)CS3)c(Cl)c1
EOS1195,3,-9.708,Cc1cccc(-c2noc(-c3cccn4c(=O)n(Cc5cc(=O)n6ccccc6n5)nc34)n2)c1
EOS1196,1,-7.285,CCN(CC)S(=O)(=O)c1ccc2nc(N3CCN(c4ccccc4OC)CC3)cnc2c1
EOS1197,14,-7.147,O=C(Cn1nc(N2CCOCC2)c2ccccc2c1=O)Nc1ccc(F)cc1
EOS1198,7,-7.265,CC(C)c1noc(-c2ccc(=O)n(CC(=O)Nc3ccc(C#N)cc3)c2)n1
EOS1199,1,-7.73,O=C(Nc1ccc2c(N3CCOCC3)ncnc2c1)c1ccccc1F
EOS1200,14,-6.803,Cc1ccccc1CNC(=O)CN1C(=O)C2CCCN2C(=O)c2cccc(C)c21
EOS1201,13,-5.416,O=C(CCC1CCCN(S(=O)(=O)c2ccccc2)C1)NCCCc1ccccc1
EOS1202,17,-6.441,Cc1ccccc1S(=O)(=O)N1CCCC(CCC(=O)N(C)Cc2cccnc2)C1
EOS1203,7,-5.907,CCCNC(=O)CCC1CCN(C(=O)c2ccccc2Cl)CC1
EOS1204,5,-6.958,Cc1nc(Cn2cccc2C(=O)Nc2cccc(Br)c2)no1
EOS1205,1,-6.545,Cc1sc(-c2ccc(=O)n(C)n2)cc1S(=O)(=O)NC1CC1
EOS1206,9,-6.377,Cc1nc(-c2cc(S(=O)(=O)NCCCN3CCCC3)cn2C)sc1C(=O)N1CCCC1
EOS1207,5,-7.553,Cc1nc(-c2ccc3c(c2)n(CC(=O)NC(C)Cc2ccco2)c(=O)n3C(C)C)no1
EOS1208,1,-7.341,CCN1C(=O)COc2cc(-c3noc(C(=O)NCCc4cccs4)n3)ccc21
EOS1209,1,-6.945,CCN(C(=O)Cn1c(=O)n(C(C)C)c2ccc(S(=O)(=O)N3CCCC3)cc21)c1cccc(C)c1
EOS1210,15,-7.182,CC(=O)c1cccc(NS(=O)(=O)c2cc(-c3nc(C)cs3)n(CC(=O)N3CCCC3)c2)c1
EOS1211,2,-7.164,Cc1nn(Cc2ccc(C(=O)NCC3CC3)cc2)c(C)c1S(=O)(=O)N1CCCCC1
EOS1212,2,-6.58,COCCOCC(=O)N1CCOc2ccc(C(=O)NCc3ccccc3)cc2C1
EOS1213,1,-7.194,COc1ccc(CNC(=O)c2snc(-c3ccccn3)c2N)c(OC)c1
EOS1214,3,-7.63,Cc1cccc(N2CCN(C(=O)c3snc(-c4ccncc4)c3N)CC2)c1
EOS1215,1,-6.922,CCN(CC)c1nc2ccsc2c(=O)n1CCC(=O)Nc1ccccc1
EOS1216,9,-7.337,Cc1cc(C)cc(Oc2nccn3c(=O)n(CC(=O)NCc4ccco4)nc23)c1
EOS1217,1,-7.603,CC(C)c1ccc(NC(=O)Cn2nc3c4sc(N(C)C)nc4ncn3c2=O)cc1
EOS1218,20,-6.917,O=C(Cn1nc2c(N3CCCCCC3)nccn2c1=O)Nc1ccccc1C(F)(F)F
EOS1219,5,-6.675,CCCCNC(=O)c1cn(CC)nc1S(=O)(=O)N1CCN(c2ccccc2OCC)CC1
EOS1282,11,-6.56,Cc1cccc(NC(=O)Cc2nnc(-c3ccsc3)o2)c1
EOS1283,2,-7.826,CC(=O)c1ccc(NC(=O)Cc2nnc(-c3cnccn3)o2)cc1
EOS1284,2,-7.269,Cc1ccc(NC(=O)c2c(O)c3sccc3[nH]c2=O)c(C)c1
EOS1285,10,-6.889,Cn1c(=O)c(C(=O)Nc2cccc(C#N)c2)c(O)c2sccc21
EOS1286,9,-6.178,CCCn1c(=O)c(C(=O)Nc2cc(Cl)ccc2OC)c(O)c2sccc21
EOS1287,12,-6.766,CC1CCN(CCNC(=O)c2c(O)c3sccc3n(Cc3ccccc3)c2=O)CC1
EOS1288,6,-6.901,O=c1c2c(CO)c(-c3ccccc3)nn2ccn1Cc1cccc(F)c1
EOS1289,1,-7.316,COc1ccc(NC(=O)c2c[nH]c3ncccc23)cc1
EOS1290,1,-6.8,CSc1cccc(NC(=O)c2cn(C)c3ncccc23)c1
EOS1291,11,-6.978,CC(=O)Nc1ccc(NC(=O)Cn2ccc3ccn(Cc4ccccc4)c3c2=O)cc1
EOS1292,17,-6.253,COCc1cc(=O)n(CC(=O)NCc2ccc(C)cc2)c(N2CCOCC2)n1
EOS1293,4,-6.094,CC(C)c1nc(CN(C)Cc2ccccc2)cc(=O)[nH]1
EOS1294,2,-6.536,CCCn1ccc2ccn(Cc3cccnc3)c2c1=O
EOS1295,1,-6.665,O=C(Nc1cnc(N2CCCCCC2)nc1)c1ccc(Br)o1
EOS1296,1,-7.219,O=C(Cc1ccccc1F)Nc1cnc(-c2cccnc2)nc1
EOS1297,4,-8.161,CCc1ccc(-c2cc3n(n2)CCCN(C(=O)Cn2cnc4c2c(=O)n(C)c(=O)n4C)C3)cc1
EOS1298,1,-7.783,COc1ccc(-c2cc3n(n2)CCCN(C(=O)C2CCCN(S(=O)(=O)N4CCCC4)C2)C3)cc1
EOS1299,12,-6.643,COCCn1c(C)cc(C(=O)N2CCCC(c3cc4n(n3)CCCNC4=O)C2)c1C
EOS1300,7,-6.955,COCCN1CCCn2nc(C3CCCN(Cc4ccncc4F)C3)cc2C1=O
EOS1301,4,-6.94,Cc1ccc(N2C(=O)c3cccnc3C2CC(=O)NCCCN2CCCCC2)cc1
EOS1302,1,-6.856,CSc1ccc(CNC(=O)C2CCN(c3cncnc3N3CCCC3)CC2)cc1
EOS1303,1,-7.96,O=C(NCc1cccs1)C1CCCN(c2cnc3nccnc3c2)C1
EOS1304,1,-7.894,COc1ccc(C(C)NC(=O)C2CCN(c3cnc4nccnc4c3)CC2)cc1
EOS1305,4,-7.961,O=C(Nc1ccc2c(c1)OCO2)N1CCC(n2c(-c3ccco3)nc3cccnc32)C1
EOS1306,3,-7.295,COc1ccc2nc(C(=O)N3CCN(c4cc(C)ccc4C)CC3)cn2n1
EOS1307,2,-6.823,CCOc1ccc2nc(C(=O)NCc3ccccc3Cl)cn2n1
EOS1308,2,-7.313,CCC(C(=O)NC1CCN(c2ccc(F)cc2)C1=O)c1ccccc1
EOS1309,14,-6.659,COc1cccc(C(=O)NC2CCN(c3cc(C)cc(C)c3)C2=O)c1
EOS1310,8,-7.022,CC(=O)c1ccc(S(=O)(=O)NC2CCN(c3ccc(C)c(C)c3)C2=O)cc1
EOS1311,1,-6.932,CCCCN(C)C(=O)C1CCN(c2nnc(-c3ccc(OC)cc3)o2)CC1
EOS1312,3,-6.251,Cc1ccn2cc(C(=O)N3CCC(C)CC3)nc2c1
EOS1313,5,-6.541,CCOc1ccc(CNC(=O)c2c(C)sc3ccn(C)c(=O)c23)cc1
EOS1314,5,-6.456,CCCN(C)C(=O)CCNc1c(-c2ccc(C)cc2)nc2cnccn12
EOS1315,8,-6.79,O=C(C1c2ccccc2CCN1C(=O)C1CC1)N1CCN(c2ccc(F)cc2)CC1
EOS1316,9,-7.537,O=C(Nc1ccc(F)cc1)N1CCC(Oc2ncccc2C(=O)N2CCOCC2)C1
EOS1317,4,-7.42,CN(C)C(=O)c1ccc(OC2CCN(C(=O)c3ccccc3)CC2)nc1
EOS1318,1,-7.371,Cc1ccc(N2CCN(C(=O)c3snc4c(=O)n(C5CC5)c(=O)[nH]c34)CC2)c(C)c1
EOS1319,1,-7.365,O=C(Nc1cnn(-c2ncc(N3CCCC3)cn2)c1)c1cccnc1
EOS1320,18,-6.439,Cc1ccc(-c2c(C(=O)NCCCN3CCOCC3)nc3ccccn23)cc1
EOS1321,15,-5.834,CN(C)C(=O)c1nc2ccccn2c1-c1ccc(F)cc1
EOS1322,1,-7.002,Cc1oc(C2CCN(C(=O)c3ccccc3Br)CC2)nc1C(=O)N(C)C
EOS1323,5,-7.837,O=C(Cn1cncc(-c2nc(-c3ccccc3)cs2)c1=O)Nc1ccc2c(c1)OCO2
EOS1324,7,-7.44,Cc1ncc(-c2nc(-c3ccccc3)cs2)c(=O)n1CC(=O)N1CCCC1
EOS1325,2,-7.941,CN1c2ccc(Cl)cc2C(=O)NC12CCN(C(=O)c1ccc3c(c1)OCO3)CC2
EOS1326,10,-6.011,CCN1c2ccccc2C(=O)NC12CCN(C(=O)c1cc(OC)c(OC)c(OC)c1)CC2
EOS1327,2,-7.525,COc1ccc(-c2cc3c(=O)n(Cc4noc(CN5CCCC5)n4)ccn3n2)cc1
EOS1328,1,-7.464,CCOc1ccc(NC(=O)C2CCN(c3cc(N4CCSCC4)ncn3)CC2)cc1
EOS1329,6,-6.833,O=C(Cn1cc(S(=O)(=O)N2CCCCC2)ccc1=O)N1CCCCC1
EOS1330,3,-7.414,COc1ccc(NC(=O)Cn2nc3nc(N4CCCC4)ccn3c2=O)cc1Cl
EOS1331,1,-7.448,COc1ccc(Cn2nc3nc(Nc4ccccc4)cc(C)n3c2=O)cc1
EOS1332,9,-6.346,Cc1cc(=O)n(CC(=O)Nc2ccc(C)c(C)c2)c(N)n1
EOS1333,2,-7.227,O=C(NCc1ccco1)c1cn(-c2cc(N3CCOCC3)ncn2)cn1
EOS1334,1,-6.7,CCCN1CCN(C(=O)c2cn(-c3cc(N4CCSCC4)ncn3)cn2)CC1
EOS1335,4,-7.195,Cc1ccc(NC(=O)c2cn(-c3cc(N(C)C)ncn3)cn2)cc1F
EOS1336,2,-6.865,CCC1CCCCN1C(=O)CN1CN(c2ccc(C)cc2)c2ncccc2S1(=O)=O
EOS1337,20,-6.808,COc1ccccc1NC(=O)CN1CN(c2cccc(F)c2)c2ncccc2S1(=O)=O
EOS1338,1,-7.396,CCCN1C(=O)c2cccnc2Sc2cc(C(=O)N3CCCC3)ccc21
EOS1339,12,-6.877,CN1C(=O)c2cc(S(=O)(=O)Nc3ccccc3)ccc2Oc2cccnc21
EOS1340,15,-6.356,COc1ccccc1NS(=O)(=O)c1cn(CC(C)C)c2ncccc12
EOS1341,2,-6.961,COc1ccc2nc(O)c(CCC(=O)NCc3ccncc3)cc2c1
EOS1342,3,-7.634,Cn1ncc(N2CCC(C(=O)N3CCn4cccc4C3c3ccccc3)CC2)cc1=O
EOS1343,2,-6.642,CCc1cc(C(=O)NC(C)CC)nc2cc(-c3ccco3)nn12
EOS1344,2,-7.985,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3cc(-c4nnc(C5CC5)o4)co3)CC2)cc1
EOS1363,3,-7.392,Cc1ccc(NC(=O)c2cn(-c3ccc(S(=O)(=O)N4CCCC4)cn3)cn2)cc1
EOS1364,18,-6.275,COc1cc(NS(=O)(=O)c2cc3n(c2)CCN(C)C3=O)cc(OC)c1
EOS1365,1,-7.322,COc1cc(=O)n2c(c1C(=O)Nc1ccc(Br)c(C)c1)CCCC2
EOS1366,5,-6.962,CCN1C(=O)C2(CCN(S(=O)(=O)c3cc(F)ccc3OC)CC2)c2ccccc21
EOS1367,10,-6.437,Cc1ccc(NC(=O)c2ccc(=O)n(CCN3CCOCC3)c2)cc1
EOS1368,1,-7.134,CCc1cc(C(=O)Nc2ccc(OC)cc2C)nc2ccnn12
EOS1369,2,-7.22,CC(C)c1cc(C(=O)Nc2ccc(F)cc2)nc2ccnn12
EOS1370,1,-7.101,COc1ccc(Cl)cc1NC(=O)c1cc(C)n2nc(C)cc2n1
EOS1371,1,-6.6,CN(C)CCn1nnc2cc(C(=O)Nc3cccc(Cl)c3)ccc21
EOS1372,6,-6.465,CCOc1ccc(C(O)CN2CCN(c3ccccn3)CC2)cc1
EOS1373,4,-6.791,COc1ccc(C(O)CN2CCN(c3cc(C)ccc3C)CC2)cc1OC
EOS1374,1,-7.783,O=C(NC1CCN(c2cc(-c3ccc(F)cc3)n[nH]2)C1)c1ccncc1
EOS1375,2,-7.262,O=C(NCCc1ccccc1)N1CCCN(c2ncccc2-c2nc(C3CC3)no2)CC1
EOS1376,4,-7.278,CCc1nnc(-c2nnc(NCCCN3CCN(C)CC3)c3ccccc23)o1
EOS1377,11,-6.935,Cc1ccc(NS(=O)(=O)c2cc3n(c2)CCCNC3=O)c(Cl)c1
EOS1378,6,-7.506,Cc1ccc(NS(=O)(=O)c2ccc(-c3[nH]ncc3C(=O)N3CCOCC3)o2)cc1
EOS1379,3,-7.642,COc1ccc(NS(=O)(=O)c2cc(-c3[nH]ncc3C(=O)N(C)C)oc2C)c(C)c1
EOS1380,3,-7.128,COc1ccc(-c2nc(C3CC(=O)N(Cc4ccccc4)C3)no2)cc1
EOS1381,14,-5.765,COc1ccc(C(=O)N2CCC(Cc3nncn3CC3CC3)C2)cc1
EOS1382,1,-8.084,O=S(=O)(Cc1ccccc1F)N1CCC(Cc2nnc(-c3cccnc3)[nH]2)C1
EOS1383,4,-7.068,CC(C)CNC(=O)N1CCCC(c2nn(C)c(=O)n2Cc2ccccc2)C1
EOS1384,6,-7.35,Cc1ccc(-c2cn3c(n2)N(C(=O)c2cnn4cccnc24)CCC3)cc1
EOS1385,1,-7.354,COc1cccc(-c2cn3c(n2)N(C(=O)Cn2ccnc2)CCC3)c1
EOS1386,3,-6.976,O=C(NCC1CCOCC1)c1cc(-c2ccccc2)n[nH]1
EOS1387,1,-7.314,COc1ccc(-c2nc(=O)c3c([nH]2)CN(C(=O)c2cccn2C)CC3)cc1
EOS1388,5,-7.574,O=C(c1ccccn1)N1CCc2c(nc3cc(-c4ccccc4Cl)[nH]n3c2=O)C1
EOS1389,1,-8.826,O=C(Nc1ccc(C(F)(F)F)cc1)N1CCc2nc3cc[nH]n3c(=O)c2C1
EOS1390,1,-7.335,CCN(CC)C(=O)N1CCc2nc3cc(-c4ccc(OC)cc4)[nH]n3c(=O)c2C1
EOS1391,1,-6.95,COc1ccc(CN2CCc3nc(N(C)C)[nH]c(=O)c3CC2)cc1OC
EOS1392,3,-7.7,O=c1[nH]c(N2CCOCC2)nc2c1CCN(Cc1cc(F)cc(F)c1)CC2
EOS1393,1,-7.608,CC(C)c1nc(-c2ccc(OC3CCN(S(=O)(=O)c4cn(C)cn4)C3)cc2)no1
EOS1394,4,-5.714,CCOc1ncccc1CN(C)C(=O)c1ccc(Br)o1
EOS1395,3,-6.498,COc1ncccc1CN(C)C(=O)c1ccc2cc[nH]c2c1
