EOS,Affinity,Smile
EOS105,-7.58,Cn1ccc2cc(NC(=O)C[C@@H]3NC(=O)N(Cc4ccccc4)C3=O)ccc21
EOS106,-7.978,O=C(C[C@@H]1NC(=O)N(Cc2ccccc2)C1=O)Nc1cccc2ncccc12
EOS107,-8.265,O=C(C[C@@H]1NC(=O)N(Cc2ccccc2)C1=O)Nc1cccc(-c2nc[nH]n2)c1
EOS108,-7.598,O=C(C[C@@H]1NC(=O)N(Cc2ccccc2)C1=O)Nc1ccc(N2CCCS2(=O)=O)cc1
EOS109,-6.885,COc1ccc(CN2C(=O)N[C@@H](CC(=O)NCCn3cnc4ccccc43)C2=O)cc1
EOS110,-8.556,COc1ccc(Cc2nc(NC(=O)C[C@@H]3NC(=O)c4ccccc4NC3=O)n[nH]2)cc1
EOS111,-8.315,O=C(C[C@@H]1NC(=O)c2ccccc2NC1=O)NCCn1ccc2ccc(F)cc21
EOS112,-7.902,COc1ccc(Cc2nc(NC(=O)CC[C@@H]3NC(=O)c4ccccc4NC3=O)n[nH]2)cc1
EOS113,-8.402,O=C(C[C@@H]1NC(=O)c2ccccc2NC1=O)Nc1n[nH]c(C2CCCCC2)n1
EOS114,-8.654,O=C(CC[C@@H]1NC(=O)c2ccccc2NC1=O)Nc1cccc(N2CCCCS2(=O)=O)c1
EOS115,-7.269,COc1ccc(CN2C(=O)N[C@@H](CCC(=O)NCc3ccc(S(N)(=O)=O)cc3)C2=O)cc1
EOS116,-8.093,COc1ccc(CN2C(=O)N[C@@H](CCC(=O)N[C@@H](C)c3nnc4ccccn34)C2=O)cc1
EOS117,-7.712,COc1ccc(CN2C(=O)N[C@@H](CCC(=O)NCCc3ccc(O)cc3)C2=O)cc1OC
EOS118,-6.603,Cn1ccc(NC(=O)CC[C@@H]2NC(=O)N(Cc3ccccc3Cl)C2=O)n1
EOS119,-8.112,O=C(CC[C@@H]1NC(=O)N(Cc2cccc(F)c2)C1=O)Nc1nc[nH]n1
EOS120,-6.834,Cc1csc(NC(=O)CC[C@@H]2NC(=O)N(CCc3cccc(F)c3)C2=O)n1
EOS121,-7.193,COCCn1ccc2c(NC(=O)CC[C@@H]3NC(=O)N(Cc4ccccc4)C3=O)cccc21
EOS122,-7.505,Cn1ccnc1C(=O)c1cccc(NC(=O)CC[C@@H]2NC(=O)N(Cc3ccccc3)C2=O)c1
EOS123,-8.557,Cc1n[nH]c(C)c1S(=O)(=O)N1CCN(C(=O)CC[C@@H]2NC(=O)c3ccccc3NC2=O)CC1
EOS124,-7.451,O=C(CC[C@@H]1NC(=O)N(Cc2ccco2)C1=O)Nc1nnc(C2CC2)s1
EOS125,-7.88,NC(=O)c1ccc(NC(=O)C[C@@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1
EOS126,-7.602,CC(=O)c1cn(CCNC(=O)CC[C@@H]2NC(=O)c3ccccc3NC2=O)c2ccccc12
EOS127,-7.108,O=C(C[C@@H]1NC(=O)N(Cc2cccc(Cl)c2)C1=O)NCCn1cccn1
EOS128,-6.82,Cc1nccn1CCNC(=O)C[C@@H]1NC(=O)N(CCc2ccccc2)C1=O
EOS129,-7.974,O=C(C[C@H]1NC(=O)c2ccccc2NC1=O)Nc1nc(-c2cccs2)n[nH]1
EOS130,-8.853,O=C(CC[C@@H]1NC(=O)c2ccccc2NC1=O)Nc1ccc2ncn(C3CC3)c(=O)c2c1
EOS131,-5.789,CS(=O)(=O)CCC(N)c1nc(-c2ccco2)no1.Cl
EOS132,-6.788,Cn1cc(OCc2ccccc2)c(=O)cc1C(=O)Nc1ccccc1
EOS133,-6.855,Cc1nc(NC(=O)c2cc(=O)c(OCc3ccccc3)cn2C)sc1C
EOS134,-7.557,O=C(NCC1CC2C=CC1C2)c1cc(=O)c(OCc2cccc(Cl)c2)c[nH]1
EOS135,-7.636,O=C(NCCn1cnc2ccccc2c1=O)NC[C@@H]1CCCN2CCCC[C@H]12
EOS136,-7.026,CN(C)S(=O)(=O)N1CCN(Cn2ncc3ccccc3c2=O)CC1
EOS137,-7.773,C[C@@H](C(=O)Nc1c2c(nn1C)CSC2)N1Cc2ccccc2C1=O
EOS138,-7.818,O=C(Nc1ccc(C(=O)NCCc2c[nH]c3ccccc23)cc1)NC1CCS(=O)(=O)C1
EOS139,-8.566,CN1C(=O)c2ccc(NC(=O)c3nn(C)c(=O)c4ccccc34)cc2C1=O
EOS140,-7.277,O=C(Nc1n[nH]c(C2CC2)n1)C1CC(=O)N(c2ccc(Br)cc2)C1
EOS141,-7.319,Cc1[nH]c2c3c(F)cccc3nn2c(=O)c1CCC(=O)NCCN(C)C
EOS142,-7.374,Cc1nn(C2CCS(=O)(=O)C2)c(C)c1C(=O)Nc1n[nH]c(CC(C)C)n1
EOS143,-8.187,COc1c2c(c(CNC(=O)CCC3NC(=O)N(Cc4ccc5c(c4)OCO5)C3=O)c3c1OCO3)CCN(C)C2
EOS144,-7.607,O=C(CC1NC(=O)c2ccccc2NC1=O)NC1CCN(Cc2nc3ccccc3[nH]2)CC1
EOS145,-7.583,O=C(CC1NC(=O)N(c2ccccc2)C1=O)N1CCOC(c2ccccc2)C1
EOS146,-7.139,COc1ccc(-c2cc(C(=O)Nc3cnn(C)c3)n(C)n2)cc1
