EOS,Conformation,Affinity,Smile
EOS1036,7,-6.574,CCc1ccc(N(C)S(=O)(=O)c2ccc3[nH]cc(C(=O)NCCOC)c(=O)c3c2)cc1
EOS1037,5,-6.876,COc1cccc(NC(=O)CSc2nc3nc(C)cc(C)n3n2)c1
EOS1038,1,-7.371,COc1ccc(NC(=O)c2oc3ccc(S(=O)(=O)N4CCOCC4)cc3c2C)c(OC)c1
EOS1039,7,-7.102,COc1ccc(OC)c(CNC(=O)c2cc(=O)[nH]c3ccc(S(=O)(=O)N4CCCC4)cc23)c1
EOS1040,7,-6.51,CC1CC(C)CN(C(=O)CN2N=C(c3ccccc3)CCC2=O)C1
EOS1041,9,-6.508,CC1CC(C)CN(CCCNC(=O)Cn2nc(-c3ccc(Cl)cc3)ccc2=O)C1
EOS1042,8,-6.131,CCN(CC)CCCNC(=O)CN1N=C(c2ccc(OC)cc2)CCC1=O
EOS1043,3,-6.503,COc1ccc(C(=O)Nc2cc(C)ccc2C)c(OC)n1
EOS1044,5,-6.756,COc1ccc(OC)c(NC(=O)Cc2c[nH]c3ccccc23)c1
EOS1045,7,-6.728,CCCn1c(=O)c(C(=O)Nc2cccc(Br)c2)c(O)c2ccccc21
EOS1046,2,-8.412,Cc1nc2ccccc2c(=O)n1NC(=O)c1c(O)c2ccccc2n(C)c1=O
EOS1047,1,-8.013,COc1ccccc1N1CCN(C(=O)c2sc3ncn(CC(=O)N4CCC(C)CC4)c(=O)c3c2C)CC1
EOS1048,6,-6.15,CCCN(CCC)CCCNS(=O)(=O)c1cccc2nsnc12.Cl
EOS1049,8,-6.534,COc1ccc(C(=O)N2CC(=O)N(CCc3ccccc3)C(=O)C2)cc1OC
EOS1050,1,-7.784,COc1cc(NC(=O)C2CCN(S(=O)(=O)c3cccc4nonc34)CC2)cc(OC)c1
EOS1051,4,-7.513,O=C1c2cccnc2C(=O)N1Cc1ccc(S(=O)(=O)N2CCOc3ccccc32)s1
EOS1052,4,-6.947,COc1ccc(OC)c(CNS(=O)(=O)c2cc(CN3C(=O)c4cccnc4C3=O)ccc2OC)c1
EOS1053,7,-6.761,CC(=O)Nc1ccc(NC(=O)CCS(=O)(=O)c2cccc3nsnc23)cc1
EOS1054,8,-6.997,COc1ccc(Cl)cc1S(=O)(=O)N1CCN(CC(=O)Nc2ccc(S(N)(=O)=O)cc2)CC1
EOS1055,3,-6.666,O=C(CN1C(=O)C2C3C=CC(C3)C2C1=O)Nc1ccc(Br)cc1
EOS1056,1,-8.1,Cc1ccc(NC(=O)N2CCC(N3CCN(Cc4ccc(F)cc4)C3=O)CC2)cc1F
EOS1057,1,-7.503,CCC(=O)NCc1ccc2c(c1)N(C(=O)c1ccc(C)cc1)CC2
EOS1058,3,-6.634,COc1ccc(NC(=O)c2nnc(CNC(=O)NC(C)(C)C)s2)cc1
EOS1059,3,-6.619,COCC(=O)N1CCCC(c2nnc(C(=O)Nc3ccc(C)cc3)s2)C1
EOS1060,1,-6.788,COc1ccc2cc(C(=O)N3CCC(CC(=O)NC(C)C)CC3)[nH]c2c1
EOS1061,8,-6.631,CCOCCCNC(=O)C(C)C1CCN(C(=O)c2cc3cc(Cl)ccc3[nH]2)CC1
EOS1062,4,-6.308,CC(C)CCNC(=O)N(C)CCc1noc(C(=O)NCc2ccccc2)n1
EOS1063,4,-7.96,CCN1CCN(C(=O)c2ccc(OCc3nnc(C(=O)Nc4ccccc4F)s3)cc2)CC1
EOS1064,2,-7.09,Cc1csc(NC(=O)c2nn(-c3ccccc3)c3c(=O)n(C)cnc23)n1
EOS1065,2,-7.438,COc1ccc(CNC(=O)Cn2cccc(-c3nc(-c4ccc(OC)c(OC)c4)no3)c2=O)cc1
EOS1066,8,-7.158,COCCCn1c(=O)c2ccccc2n(Cc2nc(-c3ccc(F)cc3)no2)c1=O
EOS1067,6,-7.235,COc1cccc(-c2noc(CN3C(=O)COc4ccc(C)cc43)n2)c1OC
EOS1068,1,-7.07,Cc1cccc(-c2csc3c(=O)n(CC#N)cnc23)c1
EOS1069,5,-7.171,CC1(C)CC(=O)c2cn(-c3ccccc3)c(=O)c(C(=O)Nc3cccnc3)c2C1
EOS1070,1,-7.771,Cc1ccnc(N2CCC(C(=O)NCC3CCN(Cc4ccccc4F)CC3)CC2)n1
EOS1071,7,-7.905,COc1ccc(NC(=O)Cn2c3ccccc3n3c(=O)cc(-c4cccnc4)nc23)cc1OC
EOS1072,4,-7.44,COCCCNC(=O)C1CCN(c2cc(C)nc3cc(-c4ccc(F)cc4)nn23)CC1
EOS1073,2,-8.424,Cn1cc(S(=O)(=O)N2CCC(C(=O)N3CCc4ccccc43)CC2)cc1C(=O)N1CCCC1
EOS1074,1,-8.047,CCOc1ccccc1CNC(=O)C1CCN(c2nn3c(=O)c4c(nc3s2)CCCC4)CC1
EOS1075,2,-7.245,CCCNC(=O)CC1CCN(C(=O)c2ccc3oc(C4CC4)nc3c2)CC1
EOS1099,7,-6.714,O=C(NCc1ccco1)Nc1ccc2c(c1)N(C(=O)c1ccccc1)CC2
EOS1100,3,-6.208,CCCNC(=O)NCCn1nnc2cc(S(=O)(=O)NC(C)C)ccc21
EOS1101,8,-7.218,CN(CCc1noc(-c2ccc(C(=O)N3CCCC3)cc2)n1)C(=O)Nc1cccc(F)c1
EOS1102,7,-7.163,Cc1ccc(N(C)C(=O)Cn2ccc3c(=O)n(C)c(=O)n(C)c32)cc1C
EOS1103,8,-6.954,O=C(NCc1ccc(S(=O)(=O)N2CCOCC2)s1)c1cccc(F)c1
EOS1104,1,-7.492,O=C(NC1CCCC1)c1nc(-c2ccc(N3CCOCC3)cc2)no1
EOS1105,1,-7.781,O=C(Nc1ccccc1)N1CCC(n2cnc3cc(Cl)ccc3c2=O)CC1
EOS1106,5,-6.959,COc1ccc(OC)c(S(=O)(=O)N2CCC(n3cnc4ccc(C)cc4c3=O)CC2)c1
EOS1107,7,-7.952,Cc1cc(F)cc2c(=O)c3c([nH]c12)CCN(CC(=O)Nc1ccc2c(c1)OCO2)C3
EOS1108,4,-7.516,CCc1ccc2[nH]c3c(c(=O)c2c1)CN(CC(=O)NCc1ccc(OC)cc1)CC3
EOS1109,9,-7.17,Cc1sc(S(=O)(=O)N2CCOCC2)cc1NC(=O)c1cc2ccccc2oc1=O
EOS1110,1,-8.061,CC1(C)CN(CC(=O)N2CCCC2)c2ccc(S(=O)(=O)Nc3ccc(S(N)(=O)=O)cc3)cc21
EOS1111,6,-7.04,CCc1nnc(-c2cccn2CC(=O)Nc2ccc(C)cc2)o1
EOS1112,8,-7.366,Cc1cccc(NS(=O)(=O)c2cc(-c3nc(C)c(C(=O)N4CCOCC4)s3)n(C)c2C)n1
EOS1113,2,-7.45,O=C(c1cn(-c2ccc(F)cc2)nn1)N1CCN(c2ccccc2)CC1
EOS1114,1,-6.621,COc1ccc(-n2cc(C(=O)N(C)Cc3ccccc3)nn2)cc1
EOS1115,5,-6.18,Cc1ccc(-n2cc(C(=O)NCCCOC(C)C)nn2)cc1C
EOS1116,3,-7.744,CS(=O)(=O)N1CCc2ccc(NC(=O)Nc3ccc(F)cc3F)cc21
EOS1117,4,-6.614,CCCn1c(CNS(=O)(=O)c2ccc(NC(C)=O)cc2)nc2cccnc21
EOS1118,9,-6.952,CCn1c(=O)n(CC(=O)N2CCN(C)CC2)c(=O)c2cnc(-c3ccc(Cl)cc3)nc21
EOS1119,1,-6.625,CCN(CC)CCNC(=O)CCC(=O)N1CCc2c(c(C(=O)N3CCCC3)nn2C)C1
EOS1120,1,-5.946,CCCCNC(=O)c1cc(S(=O)(=O)N(CC)CC)ccc1Cl
EOS1121,7,-6.33,CCOc1ccc(CNC(=O)CN2C(=O)CSc3sc(S(=O)(=O)N(C)C)cc32)cc1OC
EOS1122,5,-8.33,CC1Cc2ccccc2N1S(=O)(=O)c1ccc2c(c1)c(=O)n(CC(=O)N1CCCC1)c(=O)n2C
EOS1123,5,-7.298,Cc1cccc(NC(=O)Nc2nccn(-c3ccccc3)c2=O)c1
EOS1124,9,-6.555,COc1ccc(C(=O)Nc2nccn(-c3ccccc3OC)c2=O)cc1
EOS1125,4,-7.011,Cc1ccc(CNC(=O)C(C)C2CCN(S(=O)(=O)c3c(C)noc3C)CC2)cc1
