ID, NRGDock Score
Z1784220983,-2608852.0
Z809432534,-2608848.75
PV-004895244358,-2608846.75
PV-008466844460,-2608824.5
Z1639209245,-2608728.0
Z4323401800,-2608715.5
Z5010474113,-2608477.5
PV-007655622659,-2608328.25
Z7693897789,-2608319.5
Z7628461248,-2608232.75
Z851241560,-2608230.0
Z7629125207,-2608203.75
PV-007985145693,-2607982.75
Z1534152718,-2607945.0
PV-005780603010,-2607844.0
PV-006412326129,-2607704.5
PV-007878947255,-2607683.0
PV-005655248110,-2607583.0
Z4324243433,-2607469.25
PV-008954781310,-2607460.75
Z2184203798,-2607427.25
Z1974055709,-2607296.5
PV-010003508160,-2607275.75
Z4493383570,-2607257.25
PV-006127063494,-2607235.5
Z2175038215,-2607161.75
PV-010037162429,-2607106.5
PV-007728287944,-2607048.25
PV-009497629788,-2606978.5
PV-008638713852,-2606828.75
Z1618996341,-2606822.75
PV-009778402792,-2606806.75
PV-007785246062,-2606786.25
Z7775813870,-2606714.5
PV-004459557270,-2606501.75
PV-007474702138,-2606434.75
PV-004640468518,-2606392.0
Z1174681135,-2606215.5
PV-008652706653,-2606071.0
Z2005150880,-2606047.75
Z2215227744,-2606006.75
Z7663592394,-2605923.5
PV-006152547539,-2605846.0
Z1518503936,-2605810.75
PV-008712061352,-2605779.75
PV-006950024602,-2605746.75
PV-002351766399,-2605632.5
PV-008624002670,-2605486.5
Z2183202124,-2605438.25
PV-006864068612,-2605428.5
Z1539777174,-2605369.75
PV-009604775795,-2605345.25
Z1161337987,-2605339.75
PV-008654026365,-2605243.25
PV-006663000828,-2605151.25
Z1335423178,-2605064.25
PV-009830767107,-2604966.25
PV-004886514680,-2604836.75
PV-004784845683,-2604799.25
PV-004644251331,-2604787.5
Z5278843817,-2604753.5
Z7580284247,-2604738.75
Z1246203257,-2604687.5
PV-005758684834,-2604687.25
PV-008228955226,-2604556.25
PV-007851594710,-2604540.0
PV-007448736496,-2604480.0
PV-010062107939,-2604457.5
PV-008066901391,-2604373.0
PV-009149839371,-2604269.25
PV-008495298657,-2604210.75
Z7746847469,-2604192.0
PV-007178795688,-2604093.25
PV-009968748485,-2603964.75
Z7740384871,-2603651.5
Z7765254296,-2603588.5
PV-008330502314,-2603361.75
Z7598260678,-2603308.25
Z4493385344,-2603285.5
PV-008727931428,-2603116.5
PV-008984831396,-2603022.25
PV-009436175127,-2602980.5
PV-007889433269,-2602883.0
Z5016949494,-2602781.75
PV-009330939494,-2602777.75
Z1952795242,-2602766.5
Z1929573649,-2602585.75
PV-008205907179,-2602528.25
PV-009440039769,-2602294.5
PV-008165152248,-2602207.25
PV-005433504658,-2602187.5
PV-010064925593,-2602184.5
Z1214093939,-2602101.75
PV-008011889299,-2602060.0
Z1537536892,-2602017.5
PV-009065584750,-2602016.25
PV-007334455250,-2601926.25
PV-009035986607,-2601880.0
PV-008815540729,-2601748.75
PV-006848601362,-2601690.25
Z1311323346,-2601573.5
Z1315030250,-2601381.75
PV-009989402938,-2601381.0
PV-008738179684,-2601269.75
PV-009405671604,-2601266.5
PV-007101855688,-2601251.75
PV-007981755893,-2601222.5
Z1654222770,-2601188.25
PV-008052981583,-2600957.75
Z1733411578,-2600884.25
PV-002396849397,-2600805.25
PV-009799414724,-2600741.25
PV-008887689581,-2600706.25
PV-004614274241,-2600679.25
PV-006978426204,-2600678.75
PV-007961865208,-2600532.0
PV-010008740791,-2600500.25
Z1697748809,-2600462.25
Z1161338782,-2600382.75
PV-006379435465,-2600328.25
Z1929577786,-2600309.5
Z7739655914,-2600271.0
PV-007492472663,-2600265.75
PV-007573978622,-2600074.5
Z1890273108,-2600023.75
PV-007044829557,-2600020.25
Z1547717901,-2600018.0
PV-009899970855,-2599896.0
PV-009608787896,-2599760.0
PV-006969911475,-2599653.0
Z806835684,-2599642.0
Z7746844846,-2599553.75
PV-009141771823,-2599551.25
PV-006974931969,-2599494.0
PV-005856175865,-2599406.0
Z4493370823,-2599395.25
Z5278854651,-2599280.25
PV-007841452936,-2599206.0
PV-002306256672,-2599183.5
Z1314226103,-2599148.75
PV-006265734510,-2599038.5
PV-009111805588,-2599020.0
PV-005569656869,-2598998.5
Z1185905395,-2598978.0
Z1411387722,-2598941.5
PV-004991610145,-2598886.25
Z5278825976,-2598873.0
PV-008530874841,-2598813.75
PV-007422655251,-2598588.5
PV-004430486917,-2598538.0
PV-007654589059,-2598341.75
Z5278863687,-2598314.75
PV-009850185103,-2598309.5
PV-008412497217,-2598264.5
PV-008162655372,-2598223.0
PV-002094162608,-2598044.0
Z2204403035,-2597971.0
PV-007267161635,-2597917.75
Z6477764707,-2597762.0
PV-004498054364,-2597378.0
PV-007491325525,-2597330.0
PV-007600358002,-2597285.75
PV-008519703614,-2597235.75
PV-008722872832,-2597168.25
PV-007426696455,-2597162.25
Z287793166,-2597146.0
PV-005546823314,-2597044.25
PV-009489421972,-2596969.5
Z806833318,-2596802.0
PV-007608936563,-2596725.0
PV-008209311567,-2596607.25
PV-009832192600,-2596516.5
PV-009802152856,-2596499.25
Z806833632,-2596497.25
PV-005693174925,-2596491.25
PV-007157227082,-2596441.75
PV-008807706158,-2596409.5
PV-009582941041,-2596256.0
PV-005740836624,-2596250.0
PV-006914283278,-2596227.0
PV-007433561077,-2596090.5
Z5278850065,-2596087.5
Z1874817457,-2596022.25
PV-008160054693,-2595926.25
Z1885000135,-2595811.5
Z1585036916,-2595740.25
Z1239192862,-2595682.5
Z1585033665,-2595646.5
PV-009129011434,-2595570.0
Z5278779142,-2595533.5
PV-009663263924,-2595516.5
Z5278775666,-2595504.0
PV-009312625272,-2595408.0
PV-006600424628,-2595201.25
PV-009451825853,-2595138.5
Z1171787917,-2594978.5
PV-008279072514,-2594951.5
PV-007751963454,-2594883.5
PV-007453808793,-2594882.5
Z1674759254,-2594854.75
Z2200457569,-2594838.0
Z1416652911,-2594836.5
Z1545694092,-2594681.75
PV-004529752237,-2594655.75
PV-006506867214,-2594588.75
PV-009971403574,-2594581.0
PV-008842879415,-2594552.0
PV-008309036206,-2594493.75
PV-007763419882,-2594487.0
Z1119837684,-2594479.0
PV-009458543566,-2594404.75
PV-006783939585,-2594389.75
Z5444760153,-2594371.75
PV-007805743080,-2594317.5
Z1256773822,-2594298.0
PV-006882293207,-2594265.75
PV-007352453570,-2594213.25
Z1313392273,-2594061.75
PV-007897124717,-2594024.25
Z2229433638,-2593981.5
Z1289509063,-2593886.5
PV-008881303494,-2593857.75
Z1585057659,-2593846.0
PV-009894568309,-2593801.5
Z1250848385,-2593742.5
Z2045412147,-2593620.75
Z2213058943,-2593598.25
Z1161771178,-2593587.25
PV-008107751398,-2593523.75
PV-006825991639,-2593420.0
Z7706063745,-2593396.0
PV-008817508789,-2593370.75
PV-008599872750,-2593297.5
Z1772603805,-2593279.25
Z1689942369,-2593276.25
PV-006158945224,-2593227.5
PV-008131041597,-2593078.5
Z5278798649,-2592990.0
Z811247406,-2592980.0
Z2229382194,-2592823.0
PV-009223978512,-2592815.25
PV-007801349591,-2592776.75
Z7627628211,-2592758.75
