ZINC,ECBD,mode,affinity,rmsd l.b.,rmsd u.b.
ZINC000013717390,EOS2136,1.0,-8.5,0.0,0.0
ZINC000252286876,,1.0,-8.5,0.0,0.0
ZINC000049408167,EOS1266,1.0,-8.5,0.0,0.0
,EOS100549,1.0,-8.5,0.0,0.0
ZINC000068246140,EOS100287,1.0,-8.5,0.0,0.0
ZINC000002694095,EOS418,1.0,-8.5,0.0,0.0
,EOS100192,1.0,-8.5,0.0,0.0
,EOS2231,1.0,-8.5,0.0,0.0
ZINC000095930185,EOS101034,1.0,-8.5,0.0,0.0
ZINC000072316197,EOS101309,1.0,-8.5,0.0,0.0
ZINC000169703739,EOS100224,1.0,-8.5,0.0,0.0
ZINC000014210642,,1.0,-8.5,0.0,0.0
,EOS201,1.0,-8.5,0.0,0.0
ZINC000170625655,EOS125,1.0,-8.5,0.0,0.0
ZINC000000004448,,1.0,-8.5,0.0,0.0
,EOS9,1.0,-8.5,0.0,0.0
ZINC000003817808,EOS100050,1.0,-8.5,0.0,0.0
ZINC000043170515,EOS100373,1.0,-8.5,0.0,0.0
ZINC000017190650,EOS1733,1.0,-8.5,0.0,0.0
ZINC000003960083,EOS100059,1.0,-8.5,0.0,0.0
ZINC000003938482,EOS100159,1.0,-8.5,0.0,0.0
,EOS100313,1.0,-8.5,0.0,0.0
ZINC000065036042,EOS1112,1.0,-8.5,0.0,0.0
ZINC000002877038,EOS2003,1.0,-8.5,0.0,0.0
ZINC000084668739,,1.0,-8.4,0.0,0.0
,EOS100117,1.0,-8.4,0.0,0.0
ZINC000004099009,EOS101234,1.0,-8.4,0.0,0.0
ZINC000064998814,EOS1065,1.0,-8.4,0.0,0.0
ZINC000006094354,,1.0,-8.4,0.0,0.0
ZINC000003938686,EOS100760,1.0,-8.4,0.0,0.0
ZINC000003957596,EOS396,1.0,-8.4,0.0,0.0
ZINC000000135411,EOS100229,1.0,-8.4,0.0,0.0
ZINC000114430827,EOS100305,1.0,-8.4,0.0,0.0
ZINC000002868496,EOS1896,1.0,-8.4,0.0,0.0
ZINC000149387856,EOS101171,1.0,-8.4,0.0,0.0
ZINC000001494900,EOS98625,1.0,-8.4,0.0,0.0
ZINC000042856088,EOS101289,1.0,-8.4,0.0,0.0
,EOS100846,1.0,-8.4,0.0,0.0
ZINC000033070584,EOS905,1.0,-8.4,0.0,0.0
ZINC000067602139,EOS2432,1.0,-8.4,0.0,0.0
ZINC000065220191,EOS1291,1.0,-8.4,0.0,0.0
,EOS100459,1.0,-8.4,0.0,0.0
ZINC000003784182,EOS100933,1.0,-8.4,0.0,0.0
ZINC000100116081,EOS100028,1.0,-8.4,0.0,0.0
,EOS524,1.0,-8.4,0.0,0.0
,EOS1250,1.0,-8.4,0.0,0.0
ZINC000067601806,EOS2375,1.0,-8.4,0.0,0.0
ZINC000065362219,EOS2403,1.0,-8.4,0.0,0.0
,EOS993,1.0,-8.4,0.0,0.0
ZINC000100071817,EOS100605,1.0,-8.4,0.0,0.0
ZINC000095550949,EOS100469,1.0,-8.4,0.0,0.0
ZINC000012194526,EOS322,1.0,-8.4,0.0,0.0
ZINC000035636073,EOS100847,1.0,-8.4,0.0,0.0
ZINC000021523412,EOS590,1.0,-8.4,0.0,0.0
,EOS100038,1.0,-8.4,0.0,0.0
ZINC000231558892,EOS101144,1.0,-8.4,0.0,0.0
ZINC000014965418,EOS101157,1.0,-8.4,0.0,0.0
ZINC000033140723,EOS1135,1.0,-8.4,0.0,0.0
ZINC000584906867,EOS100299,1.0,-8.4,0.0,0.0
ZINC000072266312,EOS101295,1.0,-8.4,0.0,0.0
ZINC000005348272,EOS572,1.0,-8.4,0.0,0.0
ZINC000020355747,EOS516,1.0,-8.4,0.0,0.0
ZINC000043015507,EOS101221,1.0,-8.4,0.0,0.0
ZINC000049757234,EOS100260,1.0,-8.4,0.0,0.0
ZINC000102990688,EOS1389,1.0,-8.4,0.0,0.0
