ligandID,7RDX - rank,7RDX - mean,7RDY - rank,7RDY - mean,7RDZ - rank,7RDZ - mean,7RE0 - rank,7RE0 - mean,Variance of Affinity Scores,Variance of Rankings,Mean Ranking,Mean Affinity Score,Max Affinity ID,Min Affinity ID,Max Rank ID,Min Rank ID
Mrv1909-05212014182D,55.0,-13.1,84,-12.829545454545457,,,61.0,-12.318181818181818,0.15764634986225895,234.33333333333334,66.66666666666667,-12.749242424242425,7RE0,7RDX,7RDY,7RDX
Mrv1909-03022014522D,56.0,-13.1,60,-13.1,67.0,-11.65,74.0,-11.770454545454545,0.6462409607438016,62.916666666666664,64.25,-12.405113636363637,7RDZ,7RDX,7RE0,7RDX
Mrv1909-05141920162D,57.0,-13.02727272727273,95,-12.70909090909091,50.0,-12.534090909090908,60.0,-12.35,0.08305225550964253,404.3333333333333,65.5,-12.655113636363637,7RE0,7RDX,7RDY,7RDZ
Mrv1909-12231902552D,58.0,-13.009090909090908,69,-12.981818181818182,36.0,-12.925,53.0,-12.602272727272728,0.03539600550964162,188.66666666666666,54.0,-12.879545454545456,7RE0,7RDX,7RDY,7RDZ
Mrv1652310211601282D,59.0,-13.0,54,-13.25,49.0,-12.570454545454544,69.0,-11.963636363636365,0.3171500516528922,72.91666666666667,57.75,-12.696022727272727,7RE0,7RDY,7RE0,7RDZ
Mrv0541-05041401352D,60.0,-12.952272727272726,79,-12.852272727272728,60.0,-12.118181818181816,62.0,-12.293181818181818,0.1685171315427005,84.91666666666667,65.25,-12.553977272727273,7RDZ,7RDX,7RDY,7RDX
Mrv1652305011717592D,61.0,-12.95,62,-13.061363636363636,43.0,-12.829545454545457,58.0,-12.461363636363636,0.06791451446280984,78.0,56.0,-12.825568181818182,7RE0,7RDY,7RDY,7RDZ
Mrv1909-02102018162D,62.0,-12.945454545454544,65,-13.05,52.0,-12.45,46.0,-12.747727272727271,0.06962594696969711,77.58333333333333,56.25,-12.798295454545453,7RDZ,7RDY,7RDY,7RE0
Mrv1652310211604462D,63.0,-12.927272727272726,59,-13.102272727272728,33.0,-13.1,54.0,-12.597727272727274,0.056325757575757286,178.25,52.25,-12.931818181818183,7RE0,7RDY,7RDX,7RDZ
Mrv1652310201623012D-1704021546192,64.0,-12.611363636363636,71,-12.95,62.0,-12.00681818181818,75.0,-11.66590909090909,0.33572787534435355,36.666666666666664,68.0,-12.308522727272726,7RE0,7RDY,7RE0,7RDZ
Mrv1652310211600112D-1704021546740,65.0,-12.556818181818182,61,-13.1,51.0,-12.513636363636364,52.0,-12.65,0.07254261363636354,46.916666666666664,57.25,-12.705113636363636,7RDZ,7RDY,7RDX,7RDZ
Mrv1572001261621122D,66.0,-12.502272727272729,86,-12.802272727272726,63.0,-11.922727272727274,63.0,-12.272727272727272,0.13792355371900777,123.0,69.5,-12.375,7RDZ,7RDY,7RDY,7RDZ
Mrv1909-12181921482D,67.0,-12.5,92,-12.759090909090908,55.0,-12.304545454545456,68.0,-12.05,0.09017045454545398,240.33333333333334,70.5,-12.40340909090909,7RE0,7RDY,7RDY,7RDZ
Mrv1652306231722482D,68.0,-12.46818181818182,73,-12.95,57.0,-12.206818181818182,72.0,-11.85,0.21435390840220384,53.666666666666664,67.5,-12.36875,7RE0,7RDY,7RDY,7RDZ
Mrv1652310211602442D-1704021547279,69.0,-12.40227272727273,76,-12.890909090909092,59.0,-12.15,71.0,-11.931818181818182,0.17001162190082705,50.916666666666664,68.75,-12.34375,7RE0,7RDY,7RDY,7RDZ
Mrv1718009221814542D,70.0,-12.372727272727271,83,-12.836363636363636,38.0,-12.895454545454545,64.0,-12.263636363636364,0.10256714876033056,357.5833333333333,63.75,-12.592045454545454,7RE0,7RDZ,7RDY,7RDZ
Mrv1909-10091921542D,,,0,-17.74705882352941,,,,,,,0.0,-17.74705882352941,7RDY,7RDY,7RDY,7RDY
Mrv1909-08181923252D,,,2,-15.5,,,,,,,2.0,-15.5,7RDY,7RDY,7RDY,7RDY
Mrv1909-12152018162D-1704021550240,,,5,-14.770454545454545,,,,,,,5.0,-14.770454545454545,7RDY,7RDY,7RDY,7RDY
Mrv1909-11142221202D,,,7,-14.50681818181818,,,6.0,-14.073333333333332,0.0939545569329653,0.5,6.5,-14.290075757575757,7RE0,7RDY,7RDY,7RE0
Mrv1652306131722002D-1704021541914,,,11,-14.43409090909091,,,,,,,11.0,-14.43409090909091,7RDY,7RDY,7RDY,7RDY
Mrv0541-02241205522D,,,12,-14.413636363636364,,,,,,,12.0,-14.413636363636364,7RDY,7RDY,7RDY,7RDY
Mrv1652310211600032D,,,22,-13.85,,,,,,,22.0,-13.85,7RDY,7RDY,7RDY,7RDY
Mrv1572004031622122D,,,24,-13.8,,,,,,,24.0,-13.8,7RDY,7RDY,7RDY,7RDY
Mrv1909-07282218542D,,,25,-13.797727272727274,,,66.0,-12.138095238095238,1.377189245188436,840.5,45.5,-12.967911255411256,7RE0,7RDY,7RE0,7RDY
Mrv1909-01142022502D,,,26,-13.704545454545457,3.0,-14.6,2.0,-14.227272727272728,0.2023347107438005,184.33333333333334,10.333333333333334,-14.177272727272728,7RDY,7RDZ,7RDY,7RE0
Mrv1718003261822352D,,,28,-13.65227272727273,,,,,,,28.0,-13.65227272727273,7RDY,7RDY,7RDY,7RDY
Mrv1572004221603202D,,,29,-13.643181818181818,,,,,,,29.0,-13.643181818181818,7RDY,7RDY,7RDY,7RDY
Mrv0541-05031422282D,,,30,-13.604545454545455,,,,,,,30.0,-13.604545454545455,7RDY,7RDY,7RDY,7RDY
Mrv1909-02062023042D,,,32,-13.55,,,21.0,-13.595454545454544,0.0010330578512395667,60.5,26.5,-13.572727272727272,7RDY,7RE0,7RDY,7RE0
Mrv0541-04191212132D-1704021535776,,,35,-13.543181818181818,,,,,,,35.0,-13.543181818181818,7RDY,7RDY,7RDY,7RDY
Mrv0541-05041408582D,,,42,-13.397727272727272,,,,,,,42.0,-13.397727272727272,7RDY,7RDY,7RDY,7RDY
Mrv1909-01032022272D,,,45,-13.386363636363637,,,,,,,45.0,-13.386363636363637,7RDY,7RDY,7RDY,7RDY
Mrv1909-12152018152D,,,46,-13.385185185185184,,,,,,,46.0,-13.385185185185184,7RDY,7RDY,7RDY,7RDY
Mrv1652306231722402D-1704021547864,,,47,-13.35,,,,,,,47.0,-13.35,7RDY,7RDY,7RDY,7RDY
Mrv1909-12091921202D,,,49,-13.3,,,,,,,49.0,-13.3,7RDY,7RDY,7RDY,7RDY
Mrv1909-02092017092D,,,50,-13.279545454545454,,,48.0,-12.715909090909092,0.15884297520661098,2.0,49.0,-12.997727272727273,7RE0,7RDY,7RDY,7RE0
Mrv1909-10091920162D,,,56,-13.172727272727274,,,,,,,56.0,-13.172727272727274,7RDY,7RDY,7RDY,7RDY
Mrv1909-03102001362D,,,67,-13.00681818181818,,,,,,,67.0,-13.00681818181818,7RDY,7RDY,7RDY,7RDY
Mrv1652310211602132D-1704021547211,,,68,-13.0,,,,,,,68.0,-13.0,7RDY,7RDY,7RDY,7RDY
Mrv1909-01172019092D,,,72,-12.95,,,73.0,-11.806818181818182,0.6534323347107431,0.5,72.5,-12.378409090909091,7RE0,7RDY,7RE0,7RDY
Mrv1652310171623502D-1704021545870,,,75,-12.919444444444444,,,,,,,75.0,-12.919444444444444,7RDY,7RDY,7RDY,7RDY
Mrv1718008191817332D,,,77,-12.886363636363637,,,43.0,-12.754545454545456,0.008688016528925506,578.0,60.0,-12.820454545454545,7RE0,7RDY,7RDY,7RE0
Mrv1572004221603192D-1704021548029,,,78,-12.879545454545456,,,,,,,78.0,-12.879545454545456,7RDY,7RDY,7RDY,7RDY
Mrv0541-05031422022D,,,99,-12.668181818181818,,,,,,,99.0,-12.668181818181818,7RDY,7RDY,7RDY,7RDY
Mrv1909-05201914432D-1704021549333,,,100,-12.654545454545454,,,,,,,100.0,-12.654545454545454,7RDY,7RDY,7RDY,7RDY
